OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
6735,E01011422,Leeds 048A,431839.542,435811.946,143,38,16,89
6736,E01011423,Leeds 047A,433356.248,435813.359,73,24,9,40
6737,E01011420,Leeds 069E,435572.549,432982.391,44,14,5,25
6738,E01011421,Leeds 040A,433546.734,436135.928,89,21,16,52
6739,E01011428,Leeds 048C,431962.747,435507.249,183,42,30,111
6741,E01011429,Leeds 048D,431645.135,435410.494,215,56,24,135
6778,E01011716,Leeds 029B,435119.584,438155.711,95,39,8,48
6780,E01011717,Leeds 029C,435621.153,437886.078,54,23,7,24
6783,E01011715,Leeds 022C,437679.618,437430.229,68,26,1,41
6785,E01011712,Leeds 005E,442566.011,443067.915,48,18,2,28
6787,E01011713,Leeds 006E,436533.189,443188.146,77,21,7,49
6789,E01011710,Leeds 005C,442798.673,444297.722,45,18,1,26
6791,E01011711,Leeds 005D,443378.686,445307.48,46,17,1,28
6793,E01011718,Leeds 029D,435984.297,437484.572,69,21,13,35
6795,E01011719,Leeds 022D,437902.446,436724.29,54,18,2,34
6806,E01011677,Leeds 064D,431781.117,434783.801,90,34,8,48
6813,E01011673,Leeds 064B,431608.709,435055.893,146,32,31,83
6816,E01011670,Leeds 055A,429757.813,435390.532,1244,319,170,755
6819,E01011671,Leeds 055B,430145.425,434924.775,245,72,15,158
6826,E01011678,Leeds 063B,428863.696,433950.101,3381,793,636,1952
6949,E01033006,Leeds 063E,429088.447,434577.047,2370,369,172,1829
6993,E01011406,Leeds 057A,436501.384,435180.513,60,23,3,34
6994,E01011407,Leeds 057B,436913.368,435393.375,49,20,5,24
6995,E01011404,Leeds 077D,441676.514,432659.099,63,29,5,29
6996,E01011485,Leeds 033B,425983.131,436782.57,92,31,10,51
6997,E01011405,Leeds 077E,440828.588,432300.391,54,25,3,26
6998,E01011484,Leeds 033A,425850.797,437167.052,81,26,7,48
6999,E01011402,Leeds 087D,439792.365,432587.351,55,26,4,25
7000,E01011483,Leeds 056E,428281.882,434501.901,434,141,23,270
7001,E01011403,Leeds 074D,440774.297,432913.382,64,26,2,36
7002,E01011482,Leeds 056D,427302.483,434824.458,233,88,22,123
7003,E01011400,Leeds 074C,440863.274,433342.989,73,21,10,42
7004,E01011481,Leeds 056C,428137.273,434652.742,538,171,47,320
7005,E01011401,Leeds 077C,441348.188,432501.579,53,26,4,23
7006,E01011480,Leeds 045B,427041.704,435253.153,232,87,30,115
7007,E01011408,Leeds 057C,436403.03,434364.965,42,22,1,19
7008,E01011489,Leeds 045D,426680.252,436103.793,185,68,20,97
7009,E01011409,Leeds 057D,436614.08,434721.693,64,21,10,33
7010,E01011488,Leeds 045C,426344.294,435934.871,128,61,8,59
7101,E01011656,Leeds 035A,434779.017,437311.547,87,27,7,53
7102,E01011657,Leeds 035B,434971.943,437118.295,58,16,2,40
7103,E01011654,Leeds 024D,431978.809,437960.594,71,24,5,42
7104,E01011655,Leeds 020D,432443.98,438204.89,53,23,1,29
7105,E01011652,Leeds 024C,432061.136,438832.616,86,32,8,46
7106,E01011653,Leeds 020C,432492.317,438737.33,73,24,4,45
7107,E01011658,Leeds 040C,434437.273,436755.154,65,19,10,36
7108,E01011659,Leeds 035C,435205.8,436458.113,63,20,4,39
7277,E01011536,Leeds 108B,428272.731,424569.66,73,23,7,43
7278,E01011537,Leeds 107A,430309.025,425202.638,74,26,7,41
7279,E01011534,Leeds 106B,425696.371,427147.881,49,22,5,22
7280,E01011535,Leeds 108A,428024.296,425068.307,69,37,7,25
7281,E01011532,Leeds 095E,425823.21,428500.559,62,16,10,36
7282,E01011533,Leeds 104A,426392.112,428213.573,40,19,3,18
7283,E01011530,Leeds 106A,425529.551,427683.932,45,18,1,26
7284,E01011531,Leeds 093D,426800.303,428553.698,50,16,6,28
7285,E01011538,Leeds 107B,429556.452,425837.959,67,27,10,30
7378,E01011636,Leeds 100D,434730.692,427877.533,80,23,15,42
7379,E01011637,Leeds 097C,436831.829,428912.224,81,25,9,47
7380,E01011634,Leeds 100C,433353.751,427480.96,62,20,4,38
7381,E01011635,Leeds 097B,436318.3,428130.746,65,19,5,41
7382,E01011632,Leeds 098D,433931.632,428605.401,64,16,12,36
7383,E01011633,Leeds 098E,434181.091,427909.274,56,27,6,23
7384,E01011630,Leeds 100B,433281.424,428937.295,67,25,9,33
7385,E01011638,Leeds 097D,436300.455,429009.584,60,27,2,31
7386,E01011639,Leeds 100E,434125.023,429046.355,71,29,5,37
7433,E01032487,Leeds 097F,436070.754,428684.077,43,14,5,24
7434,E01032489,Leeds 102F,426906.12,427970.394,70,29,7,34
7435,E01032488,Leeds 097G,435656.265,428939.994,78,34,5,39
7602,E01011376,Leeds 013A,424908.456,440611.722,66,32,0,34
7603,E01011377,Leeds 013B,425168.815,440292.65,80,39,9,32
7604,E01011374,Leeds 085D,430362.098,431316.36,49,17,4,28
7605,E01011375,Leeds 086D,429528.639,430973.743,167,47,28,92
7606,E01011372,Leeds 086C,429880.52,431141.927,115,27,27,61
7607,E01011373,Leeds 085C,429573.723,431367.732,95,37,14,44
7608,E01011370,Leeds 082D,428976.549,431211.601,101,28,8,65
7609,E01011371,Leeds 085B,429996.716,431588.471,70,19,6,45
7610,E01011378,Leeds 013C,425695.459,440342.583,76,21,5,50
7612,E01011379,Leeds 017A,425750.721,439930.554,69,20,11,38
7665,E01011516,Leeds 023E,430827.816,437979.361,109,43,4,62
7666,E01011597,Leeds 066C,420100.889,434067.694,103,24,12,67
